country_code,avg_temp_c
CA,0.2825000000000001
KR,2.76
CN,4.4
FI,5.17
HU,5.78
NO,5.89
IS,5.92
AT,6.59
JP,6.775
CH,8.2
SE,8.85
DK,8.94
PL,9.5
ES,9.98
DE,10.266666666666666
TR,10.35
US,10.350454545454546
IE,10.99
NP,11.15
CZ,11.19
GB,11.73
BE,11.85
NL,11.89
FR,13.11
IT,13.53
GR,14.05
MX,15.705
MA,15.78
PK,15.875
NZ,15.965
EC,16.33
PT,16.57
AU,17.035
EG,17.33
BO,17.56
ET,17.84
CO,18.02
TW,19.41
HK,20.55
ZA,20.695
IN,21.03
PE,21.21
CL,21.63
VN,23.0
UY,23.62
KE,23.71
QA,24.92
SG,25.8
ID,25.97
LK,26.14
PH,26.44
VE,26.62
BR,27.134999999999998
MY,27.14
TZ,27.14
TH,27.2
AR,28.51
GH,28.560000000000002
NG,31.93
